CustomerKey,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,08/04/1966,M,M,90000,2,Bachelors,Professional,Y
11001,14/05/1965,S,M,60000,3,Bachelors,Professional,N
11002,12/08/1965,M,M,60000,3,Bachelors,Professional,Y
11003,15/02/1968,S,F,70000,0,Bachelors,Professional,N
11004,08/08/1968,S,F,80000,5,Bachelors,Professional,Y
11005,05/08/1965,S,M,70000,0,Bachelors,Professional,Y
11007,09/05/1964,M,M,60000,3,Bachelors,Professional,Y
11008,07/07/1964,S,F,60000,4,Bachelors,Professional,Y
11009,01/04/1964,S,M,70000,0,Bachelors,Professional,N
11010,06/02/1964,S,F,70000,0,Bachelors,Professional,N
11011,04/11/1963,M,M,60000,4,Bachelors,Professional,Y
11012,18/01/1968,M,F,100000,2,Bachelors,Management,Y
11013,06/08/1968,M,M,100000,2,Bachelors,Management,Y
11014,09/05/1968,S,F,100000,3,Bachelors,Management,N
11015,27/02/1979,S,F,30000,0,Partial College,Skilled Manual,N
11016,28/04/1979,M,M,30000,0,Partial College,Skilled Manual,Y
11017,26/06/1944,S,F,20000,4,High School,Skilled Manual,Y
11018,09/10/1944,S,M,30000,2,Partial College,Clerical,Y
11019,07/03/1978,S,M,40000,0,High School,Skilled Manual,N
11020,20/09/1978,S,M,40000,0,High School,Skilled Manual,N
11021,03/09/1978,S,F,40000,0,Partial College,Skilled Manual,N
11022,12/10/1978,M,M,40000,0,Partial College,Skilled Manual,Y
11023,11/10/1978,M,M,40000,0,Partial College,Skilled Manual,Y
11024,17/09/1978,M,M,60000,0,Partial College,Skilled Manual,Y
11025,23/12/1945,M,NA,10000,2,Partial High School,Clerical,Y
11026,03/04/1946,S,M,30000,2,Partial College,Clerical,N
11027,07/12/1946,M,M,30000,2,Partial College,Clerical,Y
11028,11/04/1946,M,F,30000,2,Partial College,Clerical,Y
11029,21/12/1946,M,M,30000,2,Partial College,Clerical,Y
11030,22/02/1947,M,F,10000,2,Partial High School,Clerical,Y
11031,22/08/1947,M,F,20000,4,High School,Skilled Manual,Y
11032,11/06/1947,M,F,20000,4,High School,Skilled Manual,Y
11033,23/09/1947,M,M,20000,4,High School,Skilled Manual,Y
11034,19/06/1947,M,F,20000,4,High School,Skilled Manual,Y
11035,24/02/1948,M,NA,10000,2,Partial High School,Clerical,Y
11036,18/12/1978,M,F,60000,0,Partial College,Skilled Manual,Y
11037,27/11/1977,S,F,40000,0,Partial High School,Clerical,N
11038,23/03/1948,M,F,10000,2,Partial High School,Clerical,Y
11039,17/12/1948,M,M,30000,3,Partial College,Clerical,Y
11040,01/08/1977,M,M,30000,0,Partial College,Skilled Manual,Y
11041,16/10/1977,M,F,60000,0,Partial College,Skilled Manual,Y
11042,13/06/1977,M,F,70000,0,Partial College,Skilled Manual,Y
11043,24/02/1976,M,M,60000,0,Partial College,Skilled Manual,Y
11044,24/05/1949,M,M,20000,2,Partial High School,Clerical,Y
11045,19/05/1950,S,M,30000,3,High School,Skilled Manual,N
11046,22/03/1950,M,F,30000,3,High School,Skilled Manual,Y
11047,27/02/1950,M,F,30000,3,High School,Skilled Manual,N
11048,22/11/1950,M,M,30000,3,High School,Skilled Manual,Y
11049,18/07/1980,S,F,40000,0,Partial High School,Clerical,Y
11050,07/09/1951,M,M,30000,3,High School,Skilled Manual,Y
11051,04/08/1951,S,M,30000,3,High School,Skilled Manual,N
11052,07/08/1951,S,F,40000,2,Partial College,Clerical,N
11053,20/08/1980,M,F,60000,0,Partial College,Skilled Manual,N
11054,10/03/1952,M,F,40000,2,Partial College,Skilled Manual,Y
11055,05/03/1952,M,M,40000,2,Partial College,Skilled Manual,Y
11056,03/04/1953,M,F,40000,3,Partial College,Skilled Manual,Y
11057,12/10/1953,M,M,70000,2,Graduate Degree,Management,Y
11058,27/04/1954,M,M,80000,2,Partial College,Skilled Manual,Y
11059,01/04/1954,S,F,80000,2,Partial College,Skilled Manual,Y
11060,17/03/1954,M,M,80000,2,Partial College,Skilled Manual,Y
11061,27/02/1954,M,M,80000,2,Partial College,Skilled Manual,Y
11062,02/09/1975,M,M,40000,0,High School,Skilled Manual,Y
11063,07/04/1975,S,F,40000,0,High School,Skilled Manual,Y
11064,07/12/1975,M,M,40000,0,High School,Skilled Manual,Y
11065,09/10/1973,M,F,60000,0,Partial College,Skilled Manual,N
11066,27/11/1973,M,F,70000,0,Partial College,Professional,Y
11067,25/09/1976,S,M,60000,0,Partial College,Professional,Y
11068,23/09/1955,S,F,80000,2,High School,Skilled Manual,Y
11069,21/09/1955,S,F,80000,2,High School,Skilled Manual,N
11070,05/04/1955,M,M,80000,2,High School,Skilled Manual,Y
11071,26/06/1955,S,F,80000,2,High School,Skilled Manual,Y
11072,06/02/1955,S,F,80000,2,High School,Skilled Manual,N
11073,14/08/1956,S,F,70000,2,High School,Skilled Manual,Y
11074,28/08/1956,S,M,70000,2,High School,Skilled Manual,Y
11075,16/11/1957,S,F,80000,2,High School,Professional,Y
11076,13/07/1957,S,M,80000,2,High School,Professional,Y
11077,19/09/1957,S,F,80000,2,High School,Professional,N
11078,10/01/1974,S,F,40000,0,High School,Professional,N
11079,11/03/1959,S,M,160000,0,Graduate Degree,Management,Y
11080,17/07/1959,M,M,170000,0,Graduate Degree,Management,Y
11081,24/07/1966,M,F,120000,2,Bachelors,Management,Y
11082,04/08/1966,S,NA,130000,0,Graduate Degree,Management,N
11083,15/03/1966,M,F,130000,0,Graduate Degree,Management,Y
11084,12/09/1957,S,M,80000,2,Partial High School,Skilled Manual,N
11085,19/07/1957,S,F,60000,2,High School,Professional,N
11086,23/12/1957,M,M,70000,2,Partial College,Professional,Y
11087,03/10/1957,M,F,70000,3,Partial College,Professional,N
11089,05/02/1957,S,F,80000,2,Bachelors,Management,Y
11090,17/12/1957,S,M,90000,2,Partial College,Professional,Y
